subject_name,absolute_course_url,course_name
Computer Science,https://www.class-central.com/course/coursera-agile-planning-for-software-products-4235,Agile Planning for Software Products
Computer Science,https://www.class-central.com/course/coursera-mastering-the-software-engineering-interview-4261,Mastering the Software Engineering Interview
Computer Science,https://www.class-central.com/course/coursera-----5517,Поиск структуры в данных
Computer Science,https://www.class-central.com/course/coursera-----5543,Обучение на размеченных данных
Computer Science,https://www.class-central.com/course/coursera-graph-search-shortest-paths-and-data-structures-7354,"Graph Search, Shortest Paths, and Data Structures"
Computer Science,https://www.class-central.com/course/coursera-natural-language-processing-9603,Natural Language Processing
Computer Science,https://www.class-central.com/course/coursera-deep-learning-in-computer-vision-9608,Deep Learning in Computer Vision
Computer Science,https://www.class-central.com/course/coursera-solving-algorithms-for-discrete-optimization-11219,Solving Algorithms for Discrete Optimization
Computer Science,https://www.class-central.com/course/coursera-cyber-threats-and-attack-vectors-9420,Cyber Threats and Attack Vectors
Computer Science,https://www.class-central.com/course/coursera-asymmetric-cryptography-and-key-management-9533,Asymmetric Cryptography and Key Management
Computer Science,https://www.class-central.com/course/coursera---computer-architecture-9590,Архитектура ЭВМ (Computer Architecture)
Computer Science,https://www.class-central.com/course/coursera-internet-connection-how-to-get-online-9158,Internet Connection: How to Get Online?
Computer Science,https://www.class-central.com/course/coursera-data-communications-and-network-services-9160,Data Communications and Network Services
Computer Science,https://www.class-central.com/course/coursera-peer-to-peer-protocols-and-local-area-networks-9266,Peer-to-Peer Protocols and Local Area Networks
Computer Science,https://www.class-central.com/course/coursera-internet-of-things-v2-dragonboard-bring-up-and-community-ecosystem-10379,Internet of Things V2: DragonBoard™ bring up and community ecosystem
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-big-data-and-machine-learning-fundamentals-en-espanol-10754,Google Cloud Platform Big Data and Machine Learning Fundamentals en Español
Computer Science,https://www.class-central.com/course/coursera-introduction-to-cloud-identity-10785,Introduction to Cloud Identity
Computer Science,https://www.class-central.com/course/coursera-api-security-on-google-cloud-s-apigee-api-platform-10487,API Security on Google Cloud's Apigee API Platform
Computer Science,https://www.class-central.com/course/coursera-machine-learning-with-python-11714,Machine Learning with Python
Computer Science,https://www.class-central.com/course/coursera-production-machine-learning-systems-11978,Production Machine Learning Systems
Computer Science,https://www.class-central.com/course/coursera-deteccion-de-objetos-3194,Detección de objetos
Computer Science,https://www.class-central.com/course/coursera-machine-learning-clustering-retrieval-4313,Machine Learning: Clustering & Retrieval
Computer Science,https://www.class-central.com/course/coursera-interfacing-with-the-arduino-4325,Interfacing with the Arduino
Computer Science,https://www.class-central.com/course/coursera-approximation-algorithms-part-ii-5688,Approximation Algorithms Part II
Computer Science,https://www.class-central.com/course/coursera-algorithms-on-graphs-5479,Algorithms on Graphs
Computer Science,https://www.class-central.com/course/coursera-advanced-algorithms-and-complexity-5474,Advanced Algorithms and Complexity
Computer Science,https://www.class-central.com/course/coursera-greedy-algorithms-minimum-spanning-trees-and-dynamic-programming-7350,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming"
Computer Science,https://www.class-central.com/course/coursera-bayesian-methods-for-machine-learning-9604,Bayesian Methods for Machine Learning
Computer Science,https://www.class-central.com/course/coursera-detecting-and-mitigating-cyber-threats-and-attacks-9419,Detecting and Mitigating Cyber Threats and Attacks
Computer Science,https://www.class-central.com/course/coursera-introduction-to-cybersecurity-for-business-9421,Introduction to Cybersecurity for Business
Computer Science,https://www.class-central.com/course/coursera-symmetric-cryptography-9534,Symmetric Cryptography
Computer Science,https://www.class-central.com/course/coursera-fundamentals-of-network-communication-9267,Fundamentals of Network Communication
Computer Science,https://www.class-central.com/course/coursera-network-protocols-and-architecture-9159,Network Protocols and Architecture
Computer Science,https://www.class-central.com/course/coursera-home-networking-basics-9161,Home Networking Basics
Computer Science,https://www.class-central.com/course/coursera-cyber-attack-countermeasures-9666,Cyber Attack Countermeasures
Computer Science,https://www.class-central.com/course/coursera-applying-machine-learning-to-your-data-with-gcp-9685,Applying Machine Learning to your Data with GCP
Computer Science,https://www.class-central.com/course/coursera-a-developer-s-guide-to-node-red-9806,A Developer's guide to Node-RED
Computer Science,https://www.class-central.com/course/coursera-la-disrupcion-del-blockchain-10495,La Disrupción del Blockchain
Computer Science,https://www.class-central.com/course/coursera-microservices-fundamentals-10370,Microservices - Fundamentals 
Computer Science,https://www.class-central.com/course/coursera-client-needs-and-software-requirements-4302,Client Needs and Software Requirements 
Computer Science,https://www.class-central.com/course/coursera-approximation-algorithms-part-i-5026,Approximation Algorithms Part I
Computer Science,https://www.class-central.com/course/coursera-----5540,Прикладные задачи анализа данных
Computer Science,https://www.class-central.com/course/coursera-managing-an-agile-team-5564,Managing an Agile Team
Computer Science,https://www.class-central.com/course/coursera-algorithms-on-strings-5470,Algorithms on Strings
Computer Science,https://www.class-central.com/course/coursera-data-structures-5475,Data Structures
Computer Science,https://www.class-central.com/course/coursera-cybersecurity-and-the-internet-of-things-6586,Cybersecurity and the Internet of Things
Computer Science,https://www.class-central.com/course/coursera-introduction-to-recommender-systems-non-personalized-and-content-based-6889,Introduction to Recommender Systems:  Non-Personalized and Content-Based
Computer Science,https://www.class-central.com/course/coursera-the-unix-workbench-8866,The Unix Workbench
Computer Science,https://www.class-central.com/course/coursera--machine-learning-foundations-algorithmic-foundations-9737,機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations
Computer Science,https://www.class-central.com/course/coursera-introduction-to-cyber-attacks-9667,Introduction to Cyber Attacks
Computer Science,https://www.class-central.com/course/coursera-probabilistic-graphical-models-3-learning-7293,Probabilistic Graphical Models 3: Learning
Computer Science,https://www.class-central.com/course/coursera-hi-five-health-informatics-for-innovation-value-enrichment-administrative-it-perspective-8099,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)"
Computer Science,https://www.class-central.com/course/coursera-discrete-mathematics-8133,Discrete Mathematics
Computer Science,https://www.class-central.com/course/coursera-fundamentals-of-parallelism-on-intel-architecture-9390,Fundamentals of Parallelism on Intel Architecture
Computer Science,https://www.class-central.com/course/coursera-packet-switching-networks-and-algorithms-9268,Packet Switching Networks and Algorithms
Computer Science,https://www.class-central.com/course/coursera-proactive-computer-security-9422,Proactive Computer Security
